Date,ICU Prev Cases,ICU Daily Cases,ICU Active Cases
02/03/2020,0,0,0
03/03/2020,0,0,0
04/03/2020,0,0,0
05/03/2020,0,0,0
06/03/2020,0,0,0
07/03/2020,0,0,0
08/03/2020,0,0,0
09/03/2020,0,0,0
10/03/2020,0,0,0
11/03/2020,0,0,0
12/03/2020,0,1,1
13/03/2020,1,0,1
14/03/2020,1,0,1
15/03/2020,1,0,1
16/03/2020,1,0,1
17/03/2020,1,0,1
18/03/2020,1,3,4
19/03/2020,4,1,5
20/03/2020,5,0,5
21/03/2020,5,1,3
22/03/2020,3,4,7
23/03/2020,7,3,10
24/03/2020,10,2,12
25/03/2020,12,1,13
26/03/2020,13,2,15
27/03/2020,15,2,17
28/03/2020,17,4,21
29/03/2020,21,3,24
30/03/2020,24,3,27
31/03/2020,27,5,32
01/04/2020,32,6,38
02/04/2020,38,4,40
03/04/2020,40,5,45
04/04/2020,49,4,53
05/04/2020,53,3,56
06/04/2020,56,6,62
07/04/2020,62,5,75
08/04/2020,75,5,80
09/04/2020,80,6,83
10/04/2020,83,5,88
11/04/2020,88,4,92
12/04/2020,92,5,97
13/04/2020,97,4,101
14/04/2020,101,8,109
15/04/2020,109,5,114
16/04/2020,114,6,122
17/04/2020,122,3,125
18/04/2020,132,6,140
19/04/2020,140,8,148
20/04/2020,148,7,146
21/04/2020,146,5,150
22/04/2020,150,6,154
23/04/2020,154,8,160
24/04/2020,160,4,164
25/04/2020,164,9,172
26/04/2020,172,8,180
27/04/2020,180,13,193
28/04/2020,193,11,203
29/04/2020,203,10,212
30/04/2020,212,11,221
01/05/2020,221,15,240
02/05/2020,240,17,257
03/05/2020,257,30,287
04/05/2020,287,58,345
05/05/2020,345,31,376
06/05/2020,376,-43,333
07/05/2020,333,-29,304
08/05/2020,304,15,319
09/05/2020,319,4,323
10/05/2020,323,11,334
11/05/2020,334,4,338
12/05/2020,338,28,366
13/05/2020,366,7,373
14/05/2020,373,11,384
15/05/2020,384,20,404
16/05/2020,404,16,420
17/05/2020,420,147,567
18/05/2020,567,55,622
19/05/2020,622,44,666
20/05/2020,666,70,736
21/05/2020,736,19,755
22/05/2020,755,25,780
23/05/2020,780,40,820
