CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,date,C1_School closing,Date,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Saudi Arabia,SAU,,,NAT_TOTAL,20200302,0,02/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,0,2,0,0,0,,0,,0,,,0,0,,,,,,,0,1,0,11.11,14.29,12.5,14.29,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200303,0,03/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,0,2,0,0,0,,0,,0,,,0,0,,,,,,,0,1,0,11.11,14.29,12.5,14.29,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200304,0,04/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,0,2,0,0,0,,0,,0,,,0,0,,,,,,,0,1,0,11.11,14.29,12.5,14.29,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200305,0,05/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,5,0,11.11,14.29,16.67,19.05,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200306,0,06/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,5,0,11.11,14.29,16.67,19.05,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200307,0,07/03/2020,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,5,0,11.11,14.29,16.67,19.05,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200308,0,08/03/2020,,0,,0,,0,,0,,0,,2,0,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,11,0,19.44,23.81,21.35,24.4,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200309,3,09/03/2020,1,0,,0,,0,,0,,0,,2,0,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,15,0,30.56,38.1,27.6,31.55,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200310,3,10/03/2020,1,0,,0,,0,,0,,0,,2,0,0,0,,0,0,0,2,1,2,2,0,0,0,,0,,0,,,0,0,,,,,,,0,20,0,30.56,38.1,27.6,31.55,0,0
Saudi Arabia,SAU,,,NAT_TOTAL,20200311,3,11/03/2020,1,0,,0,,0,,0,,0,,2,0,0,0,,0,0,0,2,1,2,2,0,10000000,0,,0,,0,,,0,0,,,,,,,0,21,0,30.56,38.1,27.6,31.55,0,0
