Date,new_cases,new_deaths,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_smoothed,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index
02/03/2020,1,0,,,,,,,,,,160,160,0.005,,,,,,,,,,,,,,,11.11
03/03/2020,1,0,,,,,,,,,,240,400,0.011,,,,,,,,,,,,,,,11.11
04/03/2020,1,0,,,,,,,,,,298,698,0.02,,,,,,,,,,,,,,,11.11
05/03/2020,3,0,,,,,,,,,,487,1185,0.034,,,,,,,,,,,,,,,11.11
06/03/2020,2,0,,,,,,,,,,1024,2209,0.063,,,,,,,,,,,,,,,11.11
07/03/2020,2,0,,,,,,,,,,1982,4191,0.119,,,,,,,,,,,,,,,11.11
08/03/2020,4,0,,,,,,,,,,1788,5979,0.169,,,,,,,,,,,,,,,19.44
09/03/2020,4,0,,,,,,,,,,2201,8180,0.231,1146,0.0017,,,,,,,,,,,,,30.56
10/03/2020,5,0,,,,,,,,,,3655,11835,0.335,1634,0.0017,,,,,,,,,,,,,30.56
11/03/2020,1,0,,,,,,,,,,2999,14834,0.42,2019,0.0014,,,,,,,,,,,,,30.56
12/03/2020,24,0,,,,,,,,,,3644,18478,0.523,2470,0.0023,,,,,,,,,,,,,30.56
13/03/2020,41,0,,,,,,,,,,3890,22368,0.633,2880,0.004,,,,,,,,,,,,,41.67
14/03/2020,17,0,,,,,,,,,,2983,25351,0.717,3023,0.0046,,,,,,,,,,,,,41.67
15/03/2020,15,0,1.98,,,,,,,,,2704,28055,0.794,3154,0.0042,,,,,,,,,,,,,52.78
16/03/2020,15,0,2,,,,,,,,,3555,31610,0.894,3347,0.0044,,,,,,,,,,,,,68.52
17/03/2020,38,0,2.03,,,,,,,,,4208,35818,1.014,3426,0.0063,,,,,,,,,,,,,68.52
18/03/2020,67,0,2.04,,,,,,,,,3605,39423,1.116,3513,0.0061,,,,,,,,,,,,,68.52
19/03/2020,36,0,2.06,,,,,,,,,4238,43661,1.235,3598,0.0091,,,,,,,,,,,,,68.52
20/03/2020,70,0,2.04,,,,,,,,,4776,48437,1.371,3724,0.0099,,,,,,,,,,,,,68.52
21/03/2020,48,0,2.02,,,,,,,,,5698,54135,1.532,4112,0.01,,,,,,,,,,,,,79.63
22/03/2020,119,0,2,,,,,,,,,6033,60168,1.703,4588,0.0127,,,,,,,,,,,,,79.63
23/03/2020,51,0,1.97,,,,,,,,,7002,67170,1.901,5080,0.0125,,,,,,,,,,,,,87.04
24/03/2020,205,1,1.94,,,,,,,,,5911,73081,2.068,5323,0.016,,,,,,,,,,,,,87.04
25/03/2020,133,1,1.9,,,,,,,,,4997,78078,2.209,5522,0.0189,,,,,,,,,,,,,89.81
26/03/2020,112,1,1.84,,,,,,,,,5673,83751,2.37,5727,0.0184,,,,,,,,,,,,,89.81
27/03/2020,92,1,1.8,,,,,,,,,6109,89860,2.543,5918,0.0183,,,,,,,,,,,,,89.81
28/03/2020,99,1,1.77,,,,,,,,,5944,95804,2.711,5953,0.0195,,,,,,,,,,,,,89.81
29/03/2020,96,4,1.75,,,,,,,,,6265,102069,2.888,5986,0.0188,,,,,,,,,,,,,89.81
30/03/2020,154,3,1.72,,,,,,,,,6894,108963,3.083,5970,0.0213,,,,,,,,,,,,,89.81
31/03/2020,110,2,1.7,,,,,,,,,7362,116325,3.292,6178,0.0184,,,,,,,,,,,,,89.81
01/04/2020,157,6,1.69,,,,,,,,,7381,123706,3.5,6518,0.018,,,,,,,,,,,,,89.81
02/04/2020,165,5,1.67,,,,,,,,,7688,131394,3.718,6806,0.0183,,,,,,,,,,,,,89.81
03/04/2020,154,4,1.66,,,,,,,,,8012,139406,3.945,7078,0.0189,,,,,,,,,,,,,89.81
04/04/2020,182,4,1.66,,,,,,,,,7779,147185,4.165,7340,0.019,,,,,,,,,,,,,89.81
05/04/2020,181,5,1.66,,,,,,,,,6778,153963,4.357,7413,0.0213,,,,,,,,,,,,,89.81
06/04/2020,203,4,1.66,,,,,,,,,6832,160795,4.55,7405,0.0222,,,,,,,,,,,,,91.67
07/04/2020,327,3,1.65,,,,,,,,,6384,167179,4.73,7265,0.0242,,,,,,,,,,,,,91.67
08/04/2020,355,3,1.66,,,,,,,,,6387,173566,4.911,7123,0.0243,,,,,,,,,,,,,91.67
09/04/2020,364,3,1.67,,,,,,,,,6819,180385,5.104,6999,0.0286,,,,,,,,,,,,,91.67
10/04/2020,382,5,1.67,,,,,,,,,7441,187826,5.315,6917,0.0333,,,,,,,,,,,,,91.67
11/04/2020,429,7,1.67,,,,,,,,,8993,196819,5.569,7091,0.0374,,,,,,,,,,,,,91.67
12/04/2020,472,6,1.67,,,,,,,,,7365,204184,5.778,7174,0.041,,,,,,,,,,,,,91.67
